Volume of imports of major arms by the top 10000 largest recipients  1980-2024;
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 10 May 2026 10:15:23 AM

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank 1980-2024,,Recipient,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,1980-2024, Share of global arms imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,72,,Kazakhstan,,,,,,,,,,,,,,,,99,2,64,,72,121,139,22,,49,44,46,83,38,53,59,63,96,143,83,446,255,221,279,232,270,195,191,223,460,4049,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,73,,Philippines,75,39,17,116,38,23,,26,12,19,33,34,43,62,72,30,43,72,64,,,10,5,10,34,12,23,16,10,1,3,63,21,83,12,153,228,278,17,191,385,365,280,108,305,3429,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,74,,Sudan,3,203,90,25,106,66,10,122,77,16,4,46,6,,,3,27,63,,36,,106,50,205,294,113,112,58,120,100,196,191,119,155,70,136,110,66,35,20,,,3,6,50,3218,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,,Russia,,,,,,,,,,,,,40,,,,,,,368,1147,2,,,,,,90,,8,25,10,121,185,207,113,127,94,62,5,1,6,39,95,315,3059,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,76,,New Zealand,,31,62,100,41,8,29,5,61,26,23,42,54,36,16,7,7,309,15,305,,45,17,154,95,,6,81,3,56,78,28,30,26,84,89,,,6,3,146,36,171,406,200,2936,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,77,,Ecuador,289,122,291,360,322,23,30,26,26,20,3,136,4,18,17,39,29,103,31,27,9,41,1,,,39,47,2,102,77,90,70,89,12,56,27,26,20,5,3,21,16,9,7,19,2702,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,78,,Austria,177,73,97,145,13,28,19,7,117,84,5,6,5,8,52,30,9,190,247,48,25,15,81,41,56,26,5,269,190,286,5,6,6,5,2,1,13,10,6,18,14,34,5,17,13,2508,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,79,,Yemen,,,,,,,,,,,78,113,,,4,167,,,1,52,158,70,585,58,253,316,38,66,41,5,261,47,38,23,6,33,7,6,9,,,,1,,,2436,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80,,Sri Lanka,18,,,,48,42,28,111,19,6,19,168,22,37,77,63,196,59,83,62,294,154,43,34,38,63,96,91,79,21,5,21,,22,5,,,45,100,59,,54,3,5,9,2300,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,81,,Belarus,,,,,,,,,,,,,,,,,,,41,41,,,,,,6,140,,,3,,75,75,75,66,98,120,158,142,333,13,69,215,178,399,2248,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,82,,South Yemen,1218,496,41,99,71,52,74,89,12,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2201,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,83,,Tunisia,103,56,60,103,119,314,,56,17,48,4,20,32,,35,56,68,41,18,12,,,44,1,,168,2,,3,,7,7,,40,50,7,43,98,181,15,16,19,35,35,78,2010,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,84,,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,18,21,,,,7,38,32,237,112,69,72,169,433,108,,,,382,,,,1697,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85,,Cyprus,,,5,19,24,34,41,33,123,28,82,94,26,10,37,34,171,98,7,113,4,180,66,6,16,18,22,16,,,44,41,6,,,,,30,,20,31,12,,8,120,1617,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,86,,Czechia,,,,,,,,,,,,,,,,1,35,9,0,1,13,57,42,94,6,600,46,10,25,26,50,112,44,18,,,7,,7,1,8,32,69,148,58,1520,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,87,,Uganda,,,14,,,10,,32,1,20,,,,,,32,,,55,39,6,,33,,36,10,5,0,14,28,37,468,213,20,2,7,1,22,10,23,79,8,66,16,,1306,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,88,,Kenya,119,144,85,17,12,6,26,178,,47,43,14,,,30,,,61,,,15,,,,,,,11,,34,96,35,68,1,17,30,32,17,7,18,71,4,1,,19,1257,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,89,,Serbia,,,,,,,,,,,,,4,2,2,8,1,14,7,1,1,27,,,,,,,,,16,,0,,,,23,65,4,84,147,117,164,370,155,1210,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,,North Yemen,705,154,45,9,104,108,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1206,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,91,,Lebanon,37,9,36,93,206,71,,,,,,,40,40,18,42,27,9,8,4,4,,,,,1,,5,1,52,64,1,31,27,6,48,28,48,53,56,45,43,30,14,9,1204,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92,,unknown recipient(s),30,85,86,87,87,87,87,87,87,41,,11,11,19,5,9,3,,4,,,,,0,,,,,12,,8,6,,32,33,13,32,15,21,48,36,3,6,3,,1089,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,93,,Cambodia,34,,,13,67,69,136,50,10,124,48,,,3,74,1,27,22,,,,,,,,,14,56,,4,34,,78,68,,,,,5,1,,35,38,56,,1064,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,94,,Armenia,,,,,,,,,,,,,,2,181,47,68,,,2,,,,,118,,,1,,46,52,5,,52,,,112,22,,248,,32,29,7,32,1057,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,,Nicaragua,,44,69,50,167,90,91,157,63,14,107,1,,,,,,,,,,,,,,,,14,,15,,,,,13,14,86,7,,13,,,,,,1012,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,96,,Lithuania,,,,,,,,,,,,,70,10,,5,15,,15,9,6,16,14,1,47,11,53,4,27,27,8,,,73,10,14,34,7,8,38,119,109,75,97,77,998,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,Mongolia,60,72,156,118,114,98,27,36,27,,,,,,,,,,,,,,,,,,,,15,,64,3,78,,,73,,,,17,,25,3,,,983,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98,,Slovakia,,,,,,,,,,,,,,146,29,208,29,,,,1,,29,,1,4,,0,0,10,9,,2,5,,,,47,34,15,25,1,3,30,181,804,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,,Georgia,,,,,,,,,,,,,,4,,,,4,28,23,6,85,,1,38,95,97,161,132,38,,2,9,5,1,,,7,41,6,,,2,0,15,802,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,,Brunei,,8,12,85,60,,13,,,,4,4,,,,,17,31,7,4,,5,1,0,0,1,1,,,33,33,229,20,15,121,36,,,,,,,,11,28,781,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,,Zambia,136,253,43,,18,,,,,,,,,,,,8,,,,43,,2,,,0,30,5,2,,,1,61,,,15,44,46,,43,3,20,2,5,1,780,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,102,,Tanzania,53,121,9,,,,1,,,5,,,18,,5,,4,,,,2,,1,51,,10,12,1,,29,,78,115,130,14,20,20,2,17,,9,53,,,,778,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103,,DR Congo,10,12,15,5,16,1,1,36,1,,4,,2,,,0,61,6,10,46,89,11,18,,,26,24,,18,37,156,,15,1,,3,43,,1,,9,,,27,40,744,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,104,,Croatia,,,,,,,,,,,,1,29,29,53,1,12,45,,,,57,2,24,8,,,20,103,4,10,18,18,,27,11,20,13,3,5,,,29,89,90,719,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,105,,Laos,35,54,1,94,26,59,,29,18,,8,,,,,,,43,22,30,7,,,0,,4,,,7,26,,15,19,19,,7,,2,136,27,17,3,,3,7,718,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,106,,Uruguay,22,100,15,17,,12,,,16,41,39,63,25,18,11,12,4,19,27,9,4,,13,,,20,8,3,78,29,20,,,3,9,13,,,10,,25,3,10,,13,712,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,,Cameroon,,28,113,5,125,16,11,5,2,3,8,,3,,,,5,6,9,4,,6,10,,,5,3,,1,,10,,9,139,124,10,23,8,2,4,2,4,2,2,,707,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,108,,Zimbabwe,,15,81,34,33,28,212,29,2,,2,47,63,0,,,,,1,25,8,10,,16,14,25,25,,,,,,,,,,,,,,,,,20,,689,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,109,,Eritrea,,,,,,,,,,,,,,21,20,7,43,53,212,31,20,57,18,17,80,99,,4,,,,,,,,,,,,,,,,,,682,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,110,,Chad,10,,,37,9,1,29,28,9,56,,,,,3,1,,,7,7,,16,,,,,18,30,83,37,43,1,4,59,58,1,2,6,7,1,4,47,6,32,10,661,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,111,,Senegal,,,7,38,4,,14,18,,,,,,,1,6,,,,,,,,,,16,15,12,6,6,4,16,,,9,24,40,48,15,40,22,21,28,172,79,659,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,112,,Ireland,44,12,3,,11,2,38,,24,,,11,,,41,,,,3,35,0,44,21,,27,5,13,26,38,,4,,,,40,43,43,2,5,35,9,,1,63,,642,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,113,,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,8,9,,,,,,,,30,,,,19,100,58,5,124,78,92,14,22,17,47,623,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,114,,Estonia,,,,,,,,,,,,,2,3,15,17,1,13,4,1,27,,2,14,11,26,4,18,28,42,13,1,2,18,2,18,32,36,19,20,25,20,15,23,115,586,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,115,,Mali,,91,4,15,13,0,,,2,,1,,,,0,,,9,4,,7,,1,3,,13,,8,3,10,,0,9,7,1,,22,32,27,20,49,39,62,82,25,558,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,116,,Mozambique,52,60,64,59,94,73,6,,,,,,,,,,,,,2,,,,1,,,,,,,,0,0,9,16,5,46,,3,22,1,19,5,3,1,543,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,117,,Bolivia,40,28,2,,,18,15,,56,66,,11,25,16,9,2,,,,9,19,,,5,1,1,9,2,3,6,1,25,12,1,46,,27,7,2,34,26,,,,0,523,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,118,,Latvia,,,,,,,,,,,,,0,8,12,16,0,0,0,4,3,14,4,25,13,5,9,51,46,11,16,27,9,5,5,3,28,30,21,31,10,15,34,47,19,520,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,119,,Ghana,38,48,,,,5,,13,,2,4,1,,,11,,7,5,,8,1,12,1,6,37,0,,16,,6,2,76,39,52,17,13,22,,0,2,12,,40,8,11,518,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,120,,Botswana,2,11,,,,5,,26,40,4,22,2,2,11,,12,32,71,2,,54,15,1,11,10,,,,,10,10,,6,8,,,5,,5,7,76,16,11,1,11,502,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,121,,Mauritania,,19,16,,0,3,,,,8,16,18,,,16,3,3,8,4,,31,,27,7,,,,,,,17,5,11,,8,1,35,,1,34,,6,,2,126,424,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,122,,Equatorial Guinea,1,,5,,,,,,,,,,,,,,,,,3,,7,,,7,11,7,28,30,68,3,56,60,2,92,,,,20,,,0,,,12,410,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,123,,Honduras,13,31,34,37,23,34,75,13,44,17,,,,,,,,,,,,,,,,,,,0,,,0,0,20,13,8,,10,1,23,0,4,,,7,408,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,124,,Somalia,101,97,61,23,15,42,15,,,,16,,,,,,,,,1,,,,,,,,,,,,,,3,,1,2,2,,8,2,2,,4,4,397,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,125,,Gabon,33,36,5,11,100,3,8,10,22,,29,,,,,,,,,,,,,,7,,20,18,,,27,5,1,2,,5,3,,,26,,2,,16,6,394,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,,Congo,17,3,11,25,25,3,,,28,44,44,18,,,,,,27,2,2,0,,,8,7,4,1,0,,4,32,5,26,35,6,2,,,0,3,,3,,,9,392,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,127,,Cote d'Ivoire,56,19,,,9,,,,,2,,,0,,,2,,0,,2,0,,32,61,9,,,,,,,,,,6,5,5,14,10,15,3,7,22,70,7,358,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,128,,House of Representatives (Libya)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,37,34,6,12,31,192,5,5,,8,348,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,129,,Slovenia,,,,,,,,,,,,2,10,22,11,20,31,9,5,21,2,41,2,17,17,3,3,2,,10,40,27,,,1,,,,,,,7,,26,19,347,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,130,,Namibia,,,,,,,,,,,,,,,2,4,,5,5,,,21,11,,16,,75,,25,15,3,1,57,9,2,,3,35,,,,,,,56,346,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,131,,Rwanda,,,,4,6,3,2,,2,3,3,5,5,,,,1,3,9,21,15,,,,,,3,20,14,11,,,5,15,15,29,,8,3,1,,65,17,37,,321,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,132,,El Salvador,13,5,32,21,65,42,5,,,,,21,4,2,,4,4,,2,,,,19,10,,,,,3,2,2,2,4,1,21,,,1,1,2,4,4,7,4,0,308,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,133,,North Macedonia,,,,,,,,,,,,,,,29,0,,,11,81,17,118,,,,,0,,,6,,,0,1,,,0,,,,,,1,5,1,270,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,134,,Dominican Republic,9,5,36,,25,2,0,,3,,,,,,,,4,,6,1,13,5,0,9,36,2,,,,10,51,12,,,,1,0,,,,4,,5,9,10,258,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,135,,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,44,1,2,65,2,13,41,19,8,,,,,8,10,,,249,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,136,,Burkina Faso,0,9,1,16,9,2,3,,12,,,4,,7,,,,,,0,,,,,,12,4,4,,3,0,16,3,,,5,7,2,24,7,3,26,12,19,37,246,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,137,,Northern Alliance (Afghanistan)*,,,,,,,,,,,,,,,,,,,,2,20,210,,,,,,,,,,,,,,,,,,,,,,,,232,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,138,,Guatemala,8,49,16,1,7,25,2,,,4,,,,13,4,4,2,,1,,,,,,,,,,0,,,,2,,,33,,,4,14,,,10,6,,204,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,,Trinidad and Tobago,22,6,,,,,,0,,,,,,,,,,,,,11,0,2,,,,,6,,,24,12,12,,,46,30,,,,,32,,,,203,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,140,,Niger,8,,6,25,3,,3,,,,,14,,,,,,3,,,,,,6,,,,,8,1,,,,12,3,10,0,3,1,5,19,16,34,19,4,202,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,141,,Togo,28,19,4,2,,,16,0,0,,,9,8,,3,3,,10,,,,,,,,,,,,,1,,,,15,,,,,6,5,10,59,2,1,200,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,142,,Bosnia-Herzegovina,,,,,,,,,,,,,,6,6,,58,78,2,25,,,,,,,,,,,,,,,,,,0,,0,0,12,,,,189,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,143,,Djibouti,5,6,3,3,,1,8,1,,,,1,19,6,,2,,,,,1,,3,,4,7,,,,,,,6,5,15,4,11,,,11,1,46,19,0,,189,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,144,,Jamaica,,0,,,,5,3,,,4,,,,,,,,,10,10,,,,,,10,10,14,2,,1,,,1,,2,22,,19,3,10,29,,10,10,176,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145,,United Nations**,,,,,,,,,,,,3,,14,49,11,,,1,9,30,,,,2,1,2,1,0,,,,,6,23,3,9,,,,,,,,4,169,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146,,Nepal,,1,,,3,4,,,,1,,,5,,,1,,,,,,12,10,10,36,7,,,1,,,3,,,5,15,9,1,7,38,,0,,,,167,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147,,Bahamas,,,,,,,33,,,,2,3,,,,,,,,,33,,,,,3,,,,1,,,,,30,16,20,12,,,,,,,,153,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,148,,Guinea,,1,1,1,,,39,,,40,1,1,,,,,,,4,,26,6,,2,,1,,0,,,5,1,4,,5,,,2,1,4,,1,,1,6,151,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,,Malta,1,,,,,,,,,,,,13,,,0,1,6,0,,0,0,4,,4,18,,,,,,8,8,,12,10,6,8,,,,,,45,,143,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,150,,Mauritius,,,,,,1,,,,,10,,,8,,,33,1,,,,,,,10,,,,,,,,,,28,,28,19,,,,1,4,,,141,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,,Mujahedin (Afghanistan)*,,,2,2,7,7,29,59,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,152,,Albania,,,,,,,,,,,,,,,,26,,,,,,,,2,,7,,5,,,,,15,7,7,7,,1,1,5,12,1,,1,38,134,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,153,,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,10,6,3,2,,,,,,,,,4,8,12,1,15,,5,14,54,,133,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,,Paraguay,18,5,3,0,3,36,6,,13,,6,3,1,,,,2,,,,,6,,,4,1,,,,,3,8,7,0,,,,,,2,,5,,,,132,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,155,,Sierra Leone,42,,,1,3,,,18,,,,,1,,7,14,,16,,13,,,,,,,9,,,,,2,0,1,,1,2,,,,,,,,,130,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,156,,Central African Republic,0,1,3,6,1,6,,,2,,,,1,,,,,,,,,,,,,,9,,0,,,7,,,,,,,2,,1,44,2,43,,127,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,,Tajikistan,,,,,,,,,,,,,,,29,,,,,,,,,,,,13,7,,34,,,,4,,,7,19,4,5,,,3,0,0,124,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,158,,Seychelles,6,,3,15,,,10,,1,,0,,,,,,,,,,,,,,,15,,,,,,8,,10,16,,8,,10,,,19,,,,118,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,159,,Luxembourg,,,1,,,,,,,,,,,,,,3,,,1,,,,1,,,,,,8,8,,,,,,,,,3,88,,,1,3,118,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,160,,Papua New Guinea,,2,4,,2,,8,12,6,6,4,10,10,,1,,1,7,,,,,,,,,,,,,,,,,3,,,0,8,,,14,,9,,107,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,161,,Hezbollah (Lebanon)*,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,0,0,0,0,0,9,3,3,3,11,,,33,30,,,,,,,,,,,,,1,,107,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,162,,African Union**,,,,,,,,,,,,,,,,,,,,,,,,,,56,9,,10,,,,,2,,2,,,5,3,,3,8,6,,104,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,163,,Guinea-Bissau,2,1,,,11,,35,,20,,22,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,164,,Malawi,14,14,,,1,7,10,1,2,4,11,,,,4,,,,,,,,,,,,,,3,,,,1,3,2,3,0,,,,,,19,,2,100,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,165,,LF (Lebanon)*,,,,,,,,12,53,20,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,,Guyana,4,14,,3,7,23,,,,,,,,,,,,,,,,7,3,,0,,,,0,,,,,,,,,,0,2,,5,,5,9,82,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,167,,Madagascar,43,1,,8,,6,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,81,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,168,,Houthi rebels (Yemen)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,9,9,10,2,15,19,1,81,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,169,,Southern rebels (Yemen)*,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
