Volume of imports of major arms by the top 10000 largest recipients  1980-2024;
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 10 May 2026 10:15:23 AM

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank 1980-2024,,Recipient,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,1980-2024, Share of global arms imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,,Algeria,1337,1381,1352,700,660,368,163,384,319,455,737,1039,23,22,197,312,83,37,98,388,405,539,252,204,251,159,340,507,1522,1076,831,1133,662,361,715,897,2916,1158,1278,167,601,164,450,394,205,27242,2.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,,United Kingdom,557,812,766,292,682,355,273,207,285,209,130,953,1147,796,421,496,568,513,770,132,937,1287,721,770,212,31,375,817,575,381,461,347,566,509,217,424,288,1002,463,402,635,886,859,469,486,24483,1.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,Syria,1867,1349,1989,2241,1817,1581,1267,1451,1310,663,739,315,277,166,14,25,25,25,45,48,49,23,40,64,20,30,95,15,326,253,420,485,532,498,7,16,18,52,199,104,80,7,,,,20545,1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,,Singapore,371,167,171,242,83,123,84,302,541,231,513,373,115,170,179,302,159,613,798,302,782,246,229,79,374,538,74,396,1106,1403,937,879,746,753,66,152,642,408,562,487,176,226,516,495,378,18485,1.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,,Poland,1119,804,709,536,466,925,1389,1036,903,501,226,76,100,4,74,250,101,,,23,146,31,253,347,223,105,442,969,633,193,174,141,227,146,275,127,45,126,50,213,153,68,414,1391,1542,17674,1.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,,Qatar,57,48,127,460,340,2,2,57,91,10,5,17,63,10,9,10,204,238,302,61,3,,,,,,,27,,286,30,190,335,82,55,490,596,285,613,2230,1082,2288,3336,2006,1194,17241,1.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,,Netherlands,645,755,1241,1331,1173,892,792,614,393,705,273,322,237,140,205,84,203,126,269,278,123,164,247,128,130,86,304,221,147,262,171,115,190,488,8,51,69,33,139,494,575,512,725,374,333,16765,1.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,,Spain,689,636,512,614,81,327,1081,1082,1954,835,691,109,207,299,838,355,395,192,82,357,315,140,266,239,288,358,312,343,347,228,272,166,219,155,109,152,104,82,149,35,70,134,198,159,159,16331,1.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,,Canada,442,453,277,649,654,848,849,787,712,37,157,767,407,196,473,405,419,353,111,143,529,520,418,140,341,106,97,478,423,104,242,356,207,202,316,408,246,354,185,187,248,357,214,73,198,16086,1.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,,Indonesia,898,790,356,224,102,291,433,265,285,249,202,11,51,210,472,284,378,101,85,161,171,22,67,353,77,33,63,578,239,443,221,257,162,833,1195,438,352,1171,357,239,283,366,86,390,185,14430,1.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,,Viet Nam,1017,1073,532,916,557,28,78,50,65,128,116,,,,,273,214,111,209,168,11,97,58,22,299,221,42,8,186,61,161,1016,782,360,1225,869,924,783,604,166,38,235,86,45,58,13887,1.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,,Iran,278,487,499,466,562,639,805,807,469,194,444,990,406,960,451,289,608,172,374,321,417,526,435,283,117,53,418,325,57,92,87,89,39,14,14,11,413,3,3,3,2,,,21,42,13684,1.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
