Volume of imports of major arms by the top 10000 largest recipients  1950-1980;
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 10 May 2026 10:15:54 AM

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank 1950-1980,,Recipient,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1950-1980, Share of global arms imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,,Viet Nam,,,,,10,19,9,60,26,59,103,95,47,107,266,651,1138,1103,1179,909,1214,1197,1317,1283,859,493,42,42,227,1249,1017,14719,1.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,,Australia,464,367,399,151,125,637,463,460,549,422,116,155,460,369,539,920,707,770,557,702,230,310,63,713,898,108,91,278,1029,197,409,13657,1.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,,Greece,97,500,306,84,152,203,88,348,410,290,261,148,340,106,639,497,212,373,107,292,305,581,689,246,428,912,1288,980,1281,734,660,13556,1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,,Belgium,229,461,972,1098,604,345,673,670,887,179,92,132,188,575,652,521,116,39,220,240,514,499,492,562,113,130,184,187,409,779,565,13328,1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,,Yugoslavia,,185,480,514,524,334,352,229,112,279,205,118,346,374,313,418,476,565,640,435,362,349,376,257,290,746,642,711,596,935,783,12945,1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,,Taiwan,,98,304,383,308,622,252,380,718,921,472,108,146,320,347,494,326,477,293,588,588,352,245,329,372,344,484,792,779,522,513,12875,1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,,Bulgaria,166,88,117,364,689,539,431,304,354,165,482,522,493,553,326,372,218,329,256,533,771,407,460,274,302,390,368,492,876,323,580,12541,1.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,,Romania,7,76,427,873,626,464,450,189,109,100,116,30,179,230,421,520,401,442,591,399,561,471,497,538,673,637,294,348,329,612,516,12123,1.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,,South Korea,170,177,239,229,232,277,386,217,192,180,122,113,65,214,332,632,578,137,359,586,100,250,413,269,458,661,556,1199,399,1323,877,11941,1.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,,Hungary,56,52,13,832,729,222,1,59,259,336,604,580,295,376,747,667,150,287,271,449,24,239,123,394,554,495,378,394,660,485,388,11116,1.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
