Volume of imports of major arms by the top 10000 largest recipients  1950-1980;
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 10 May 2026 10:15:54 AM

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank 1950-1980,,Recipient,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1950-1980, Share of global arms imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,94,,Gabon,,,,,,,,,,,,3,,,3,0,2,,4,4,1,24,,2,11,34,47,28,76,,33,271,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,,Qatar,,,,,,,,,,,,,,,,,,,2,3,6,16,,,,38,26,55,16,14,57,234,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,96,,Guatemala,,6,,,2,8,6,,,5,16,,1,7,8,5,,1,16,1,,46,1,0,15,47,15,1,1,5,8,222,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,Honduras,,1,2,,1,,9,1,12,1,,,14,,,1,6,,,20,,,,2,,31,30,34,33,9,13,220,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98,,Dominican Republic,2,11,43,21,2,6,7,1,17,14,9,15,0,7,5,10,9,1,1,0,1,2,7,0,,2,12,,,,9,215,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,,Ireland,2,,,18,,,8,,1,,1,,,2,12,,,,,,,14,27,8,6,9,,5,28,26,44,213,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,,Cote d'Ivoire,,,,,,,,,,,,3,1,1,,,2,3,26,2,7,17,1,,18,,,22,15,38,56,212,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,,Sri Lanka,0,,0,17,,8,1,2,20,31,4,,,,0,,,,,2,,33,47,,,1,0,17,7,,18,208,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,102,,Senegal,,,,,,,,,,,0,8,,0,4,0,2,,1,38,,12,,1,17,,15,41,20,29,,187,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103,,El Salvador,0,,,,1,1,,17,,,,,,0,,1,1,0,12,7,13,1,,1,29,46,19,10,3,11,13,186,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,104,,NATO**,,,,,,,,26,26,26,26,22,5,,,,,7,14,14,14,,,,,,,,,,,178,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,105,,Brunei,,,,,,,,,,,,,,,,5,1,18,1,,5,18,1,1,15,1,0,,46,64,,176,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,106,,Congo,,,,,,,,,,,1,1,,0,,0,,1,1,23,9,27,2,,7,2,4,,35,26,17,156,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,,Madagascar,,,,,,,,,,,,3,,1,0,8,,12,1,1,,0,0,,17,6,,,,64,43,156,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,108,,Mali,,,,,,,,,,,,3,10,4,,,1,12,,2,,15,,,,11,89,,,,,148,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,109,,Mauritania,,,,,,,,,,,2,1,1,6,1,1,,,,,21,13,,1,5,5,15,29,17,24,,141,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,110,,Nicaragua,,,,3,15,27,1,2,6,,2,8,6,6,2,0,2,,,,,5,5,10,,,8,19,13,,,140,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,111,,Cameroon,,,,,,,,,,,,0,,2,0,2,2,3,3,,,8,1,15,,,29,73,,1,,140,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,112,,Togo,,,,,,,,,,,1,,,,0,0,,,1,1,2,1,,4,,15,47,1,9,9,28,119,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,113,,Paraguay,5,,1,1,,0,,,,,9,,11,0,8,1,1,5,9,,0,1,12,0,1,20,3,,9,1,18,119,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,114,,Panama,,,,,,,,,,,,,,,0,,,,0,3,15,18,2,16,,27,6,4,5,,3,99,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,115,,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,21,12,14,,14,24,2,88,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,116,,Niger,,,,,,,,,,,1,1,,,1,1,,,,2,1,12,,,3,,,,2,57,8,87,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,117,,Yemen Arab Republic (North Yemen),,,,,,,,,,,,,,,,,,42,27,11,,,,,,,,,,,,80,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,118,,Iceland,,,,,,,,,,,20,,,,,,,,27,,,,,,,27,,,,,,73,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,119,,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,28,,,1,,2,,42,73,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,120,,Bahrain,,,,,,,,,,,,,,,,,,,,,,0,7,0,1,,,2,12,10,22,54,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,121,,Chad,,,,,,,,,,,1,1,,,,0,,,,,,4,,3,13,10,8,3,,,10,51,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,122,,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,36,5,50,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,123,,Cyprus,,,,,,,,,,,,,,,18,22,,,,,,,,9,,,,,,,,49,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,124,,Nepal,,,,,,,,,,,,,,,,2,0,,,,8,8,3,5,2,15,6,,,,,48,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,125,,Haiti,4,,3,,,,4,1,,,6,,,,1,,,,,8,,,,5,5,1,1,0,9,,,47,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,,Trinidad and Tobago,,,,,,,,,,,,,,,,11,0,,,,,,11,2,,,,,,,22,45,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,127,,Malawi,,,,,,,,,,,,,,,5,,,,,,,,0,,,,2,6,7,8,14,43,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,128,,Viet Cong (South Vietnam)*,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,,,,,,,40,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,129,,Benin,,,,,,,,,,,,2,1,,2,,1,,,,0,2,,1,,,,,26,6,,39,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,130,,Pathet Lao (Laos)*,,,,,,,,,,,11,11,15,,,,,,,,,,,,,,,,,,,38,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,131,,Jamaica,,,,,,,,,,,,,1,1,0,,,3,,,,1,,13,8,4,1,3,4,,,37,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,132,,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,32,,3,2,,,37,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,133,,Burkina Faso,,,,,,,,,,,,1,,,1,0,0,,0,1,1,1,,,,14,8,9,,,0,36,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,134,,Guyana,,,,,,,,,,,,,,,,,,,0,,,2,,,3,0,16,5,1,5,4,36,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,135,,Liberia,,,,,,,,,,1,,,,,2,,,18,,1,,1,1,,,,2,,1,,,28,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,136,,Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,19,6,25,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,137,,FNLA (Angola)*,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,23,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,138,,Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,18,,20,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,,United Nations**,,,,,,,,,,,16,0,1,,,,,,,,,,,,,,,,,,,17,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,140,,Rwanda,,,,,,,,,,,,,11,,0,0,,,,,,0,0,2,1,3,,1,,,,17,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,141,,Costa Rica,,,,,,3,0,,,,,,,1,,,0,,,,,,,1,,3,,,6,2,0,16,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,142,,LF (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,16,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,143,,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,10,,,,15,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,144,,Burundi,,,,,,,,,,,,,,,,,9,2,,3,,,,0,,,,,,,1,15,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145,,Khmer Rouge (Cambodia)*,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,2,,,,,,14,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146,,SLA (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,14,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147,,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,12,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,148,,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,2,11,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,,Central African Republic,,,,,,,,,,,,2,,,,1,2,,3,,,2,,0,,,,,0,,0,11,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,150,,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,11,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,,Katanga,,,,,,,,,,,1,8,,,,,,,,,,,,,,,,,,,,10,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,152,,Malta,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,8,,1,9,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,153,,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,3,9,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,,Biafra,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,,,9,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,155,,Armas (Guatemala)*,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,156,,Haiti rebels*,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,7,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,,Mauritius,,,,,,,,,,,,,,,,,,,0,,,0,,,2,,,,,3,,6,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,158,,Indonesia rebels*,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,6,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,159,,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,6,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,160,,eSwatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,161,,Lebanon Palestinian rebels*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,162,,PLO (Israel)*,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,4,5,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,163,,ELF (Ethiopia)*,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,4,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,164,,Viet Minh (France)*,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,165,,Anti-Castro rebels (Cuba)*,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,,Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,2,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,167,,ZAPU (Zimbabwe)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,1,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,168,,FRELIMO (Portugal)*,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,169,,MPLA (Portugal)*,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,1,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,170,,PAIGC (Portugal)*,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,1,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,171,,Luxembourg,,,0,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,172,,Bhutan,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,173,,Hezbollah (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174,,EPLF (Ethiopia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,175,,Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,,FAN (Chad)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,177,,Gambia,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,178,,MNLF (Philippines)*,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,8150,11477,16619,23559,20442,20486,24664,23621,25041,21209,17600,16398,17526,20273,26727,25821,25770,25573,26129,28136,25270,32851,34526,36300,36584,37148,35973,39967,42371,38356,42226,826793,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
